name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-158,YES,0,167,182,136,571,580,596
GENE-165,YES,0,15329,17420,21079,9437,10789,10044
GENE-192,YES,0,139,133,79,491,531,378
GENE-250,YES,0,23,39,14,31,33,20
GENE-261,YES,0,7,8,8,18,13,7
GENE-354,YES,0,25,33,35,155,181,177
GENE-375,YES,0,74,75,90,10,3,4
GENE-394,YES,0,32,44,26,9,11,11
GENE-444,YES,0,280,310,260,49,45,48
GENE-478,YES,0,26,42,47,40,45,46
GENE-489,YES,0,528,646,631,725,660,619
GENE-549,YES,0,49,18,34,99,115,99
GENE-681,YES,0,21,22,15,12,2,6
GENE-1309,YES,0,210,190,150,640,611,698
GENE-1390,YES,0,219,328,236,142,167,215
GENE-1545,YES,0,793,701,813,2059,2057,2006
GENE-1665,YES,0,387,438,283,508,528,429
GENE-1817,YES,0,2027,2177,2048,1549,1134,1554
GENE-1934,YES,0,41,21,34,32,24,15
GENE-1973,YES,0,15,30,24,36,42,63
GENE-1992,YES,0,24,25,33,37,28,49
GENE-2075,YES,0,49,19,38,14,28,25
GENE-2119,YES,0,5,8,7,19,13,15
GENE-2134,YES,0,7,8,9,20,35,25
GENE-2160,YES,0,104,104,108,73,80,81
GENE-2176,YES,0,956,1281,591,14168,9772,7011
GENE-2423,YES,0,1820,1907,1942,271,262,274
GENE-2527,YES,0,391,399,435,322,436,288
GENE-2640,YES,0,31,21,22,38,53,53
GENE-2899,YES,0,686,775,800,2156,2047,2685
GENE-3052,YES,0,704,682,497,1982,3228,2250
GENE-3088,YES,0,86,91,93,37,29,39
GENE-3276,YES,0,50,104,90,187,168,133
GENE-3359,YES,0,275,259,273,1945,1060,1524
GENE-3379,YES,0,67,82,79,53,33,48
GENE-3387,YES,0,307,270,264,565,665,236
GENE-3460,YES,0,155,211,146,400,298,380
GENE-3496,YES,0,2737,3401,2535,241,287,210
GENE-3544,YES,0,167,110,169,341,267,306
GENE-3649,YES,0,13,238,682,382,566,331
GENE-3694,YES,0,3,11,12,29,38,25
GENE-3910,YES,0,23,26,31,6,6,4
GENE-3919,YES,0,89,88,99,69,98,56
GENE-3999,YES,0,2580,1971,1503,598,945,785
GENE-4015,YES,0,1296,1307,824,40,44,49
GENE-4075,YES,0,18,20,36,56,66,61
GENE-4150,YES,0,26,112,22,15,29,28
GENE-4163,YES,0,36,27,91,189,57,115
