run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
ERR13649348,SAMEA115926230,JE2-IMP-1700-R-6,JE2 Passage Day 7 isolate 6,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus USA300,342069031;328728027,970906200,6472708,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/048/ERR13649348/ERR13649348_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/048/ERR13649348/ERR13649348_2.fastq.gz']","342 MB, 329 MB files; 6.5 million reads; 970.9 million sequenced bases"
ERR13649350,SAMEA115926232,252597_SH1000passageduntreated,SH1000 passaged untreated for 4 days,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,63029313;62559404,241333990,961490,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/050/ERR13649350/ERR13649350_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/050/ERR13649350/ERR13649350_2.fastq.gz']","63 MB, 63 MB files; 1.0 million reads; 241.3 million sequenced bases"
ERR13649334,SAMEA115926216,SH1000-IMP-1700-R-1,SH1000 Passage Day 3 isolate 6,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,353024366;339506700,997890900,6652606,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/034/ERR13649334/ERR13649334_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/034/ERR13649334/ERR13649334_2.fastq.gz']","353 MB, 340 MB files; 6.7 million reads; 997.9 million sequenced bases"
ERR13649337,SAMEA115926219,SH1000-IMP-1700-R-4,SH1000 Passage Day 8 isolate 4,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,382871037;366489951,1090215000,7268100,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/037/ERR13649337/ERR13649337_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/037/ERR13649337/ERR13649337_2.fastq.gz']","383 MB, 366 MB files; 7.3 million reads; 1090.2 million sequenced bases"
ERR13649344,SAMEA115926226,JE2-IMP-1700-R-2,JE2 Passage Day 7 isolate 2,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus USA300,355456243;340347967,1002319500,6682130,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/044/ERR13649344/ERR13649344_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/044/ERR13649344/ERR13649344_2.fastq.gz']","355 MB, 340 MB files; 6.7 million reads; 1002.3 million sequenced bases"
ERR13649349,SAMEA115926231,252596_SH1000WT,SH1000 WT,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,57213115;60549067,237498208,946208,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/049/ERR13649349/ERR13649349_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/049/ERR13649349/ERR13649349_2.fastq.gz']","57 MB, 61 MB files; 0.9 million reads; 237.5 million sequenced bases"
ERR13649352,SAMEA115926234,252599_SH1000zoliflodicinR2,SH1000 zoliflodicin (4 days passage) isolate 2,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,75519060;68410801,264731206,1054706,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/052/ERR13649352/ERR13649352_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/052/ERR13649352/ERR13649352_2.fastq.gz']","76 MB, 68 MB files; 1.1 million reads; 264.7 million sequenced bases"
ERR13649353,SAMEA115926235,252600_SH1000zoliflodicinR3,SH1000 zoliflodicin (4 days passage) isolate 3,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,32586405;34901418,134782984,536984,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/053/ERR13649353/ERR13649353_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/053/ERR13649353/ERR13649353_2.fastq.gz']","33 MB, 35 MB files; 0.5 million reads; 134.8 million sequenced bases"
ERR13649345,SAMEA115926227,JE2-IMP-1700-R-3,JE2 Passage Day 7 isolate 3,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus USA300,378117520;362933991,1068250500,7121670,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/045/ERR13649345/ERR13649345_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/045/ERR13649345/ERR13649345_2.fastq.gz']","378 MB, 363 MB files; 7.1 million reads; 1068.3 million sequenced bases"
ERR13649351,SAMEA115926233,252598_SH1000zoliflodicinR1,SH1000 zoliflodicin (4 days passage) isolate 1ï¿½,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,67415311;71710206,282969368,1127368,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/051/ERR13649351/ERR13649351_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/051/ERR13649351/ERR13649351_2.fastq.gz']","67 MB, 72 MB files; 1.1 million reads; 283.0 million sequenced bases"
ERR13649354,SAMEA115926236,252601_SH1000zoliflodicinR4,SH1000 zoliflodicin (4 days passage) isolate 4,2024-09-08,United Kingdom,Staphylococcus aureus subsp. aureus NCTC 8325,54664165;54786273,216116522,861022,unspecified,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,WGS of S. aureus isolates serially passaged with either IMP-1700 or zoliflodicin,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/054/ERR13649354/ERR13649354_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/054/ERR13649354/ERR13649354_2.fastq.gz']","55 MB, 55 MB files; 0.9 million reads; 216.1 million sequenced bases"
